tree_id,species,age_years,dbh_cm,db_cm,dm_cm,dt_cm,total_height_m,merch_height_m,bole_height_m,crown_diameter_m,crown_length_m,crown_projection_area_m2,crown_ratio,basal_area_m2,total_volume_m3,merch_volume_m3,agb_kg,natural_form_factor
128,Nauclea_diderrichii,44,31.82686,43.9,30.0,28.0,31.0,15.0,14.7,5.945,16.0,0.0027761946137500005,0.5161290322580645,0.07956714532145158,15.576203166666666,7.536872499999999,1113.7329457423996,6.314894981298295
129,Nauclea_diderrichii,44,40.0,50.0,35.0,17.5,26.8,18.8,18.5,6.45,8.0,0.0032678763749999997,0.29850746268656714,0.12568,14.560551666666665,10.214118333333332,1580.5717964803096,4.322916666666667
130,Nauclea_diderrichii,44,45.0,50.0,27.5,20.0,24.5,15.0,14.7,3.75,9.5,0.001104609375,0.3877551020408163,0.15906374999999998,11.546850000000001,7.069500000000001,1773.1239260119603,2.9629629629629637
131,Nauclea_diderrichii,44,34.37301,40.0,20.0,17.5,25.0,20.0,19.7,3.75,5.0,0.001104609375,0.2,0.09280712478294086,9.000520833333335,7.200416666666668,1096.3970208797223,3.87923701090145
132,Nauclea_diderrichii,44,31.82686,42.5,25.0,20.0,26.0,20.0,19.7,4.325,6.0,0.00146932684375,0.23076923076923078,0.07956714532145158,11.062458333333332,8.509583333333333,1079.0542779285722,5.347422795523568
133,Nauclea_diderrichii,44,30.0,34.1,27.5,15.0,31.8,21.8,21.5,4.825,10.0,0.0018286930937500001,0.31446540880503143,0.070695,13.247143300000003,9.081374966666669,821.5756723735076,5.892592592592595
134,Nauclea_diderrichii,44,43.6028,60.0,32.5,30.0,36.5,25.5,25.2,2.0,11.0,0.0003142,0.3013698630136986,0.14933958738383202,21.025216666666662,14.688849999999999,2054.2372803210064,3.857204532464755
135,Nauclea_diderrichii,44,44.55761,50.0,22.5,20.0,32.5,23.5,23.2,4.89,9.0,0.0018782954549999996,0.27692307692307694,0.15595164683004542,13.615333333333334,9.844933333333332,1756.1088811252132,2.6863027217011872
136,Nauclea_diderrichii,44,44.87588,50.0,30.0,22.5,32.0,18.0,17.7,5.975,14.0,0.0028042840937499993,0.4375,0.15818749378357913,16.12893333333333,9.072524999999999,1768.350474133443,3.186276959139661
137,Nauclea_diderrichii,44,30.0,33.7,20.0,10.0,30.0,24.0,23.7,4.5,6.0,0.0015906375,0.2,0.070695,9.716635000000002,7.773308000000001,812.1683857769964,4.581481481481482
138,Nauclea_diderrichii,44,42.32973,60.0,32.5,25.0,35.5,20.5,20.2,6.125,15.0,0.00294685234375,0.4225352112676056,0.14074636458911627,19.984429166666665,11.540304166666665,1995.678502700137,3.999688860952634
139,Nauclea_diderrichii,44,35.00955,45.0,29.0,17.5,32.2,23.2,22.900000000000002,6.14,9.0,0.0029613035799999996,0.2795031055900621,0.09627626783895636,15.0493945,10.843041999999999,1252.1905377989037,4.854493329361139
140,Nauclea_diderrichii,44,41.10185,47.0,31.0,20.0,36.2,22.8,22.5,7.435,13.4,0.00434218312375,0.3701657458563536,0.13269939086733734,18.103680333333337,11.402318000000001,1527.9359835794673,3.7686809517206448
141,Nauclea_diderrichii,44,31.82686,40.0,28.5,17.5,25.6,20.6,20.3,2.05,5.0,0.00033010637499999995,0.1953125,0.07956714532145158,11.495530666666667,9.250309833333334,1017.0592327918789,5.643587750352567
142,Nauclea_diderrichii,44,35.96435,47.10376,30.0,17.5,27.5,19.5,19.2,5.925,8.0,0.0027575468437499996,0.2909090909090909,0.10159927769096239,13.292239902333332,9.425406476200001,1344.1337205725386,4.757456836818267
143,Nauclea_diderrichii,44,45.92298,60.52196,27.5,20.0,31.0,21.0,20.7,7.15,10.0,0.004015672375,0.3225806451612903,0.16565567323291544,15.464349956600003,10.4758499706,2179.20138221514,3.011366824114779
144,Nauclea_diderrichii,44,30.0,40.0,19.1,12.5,26.3,16.0,15.7,5.705,10.3,0.0025565688137499996,0.3916349809885932,0.070695,8.876333283333336,5.400050666666667,960.0411501311693,4.774074074074076
145,Nauclea_diderrichii,44,35.00955,45.0,25.0,17.5,33.1,20.7,20.4,6.14,12.4,0.0029613035799999996,0.37462235649546827,0.09627626783895636,14.083360416666665,8.807418749999998,1252.1905377989037,4.419356672387591
146,Nauclea_diderrichii,44,42.96626,50.0,30.0,21.0,27.4,17.4,17.099999999999998,11.625,10.0,0.010615296093749999,0.36496350364963503,0.14501111559834595,13.702785666666664,8.701768999999999,1694.8691219045395,3.4487126356013698
147,Nauclea_diderrichii,44,33.73647,45.0,30.0,20.0,35.5,21.5,21.2,2.6,14.0,0.0005309980000000001,0.39436619718309857,0.08940163600318368,17.195904166666665,10.414420833333333,1207.7293288423982,5.418152153831021
148,Nauclea_diderrichii,44,41.37492,60.0,30.0,20.0,37.0,23.0,22.7,5.62,14.0,0.00248095462,0.3783783783783784,0.13446848859325272,19.375666666666667,12.044333333333334,1951.7313937257968,3.8943448546572195
149,Nauclea_diderrichii,44,45.0,60.0,39.8,35.0,35.8,17.3,16.999999999999996,6.28,18.5,0.0030978863200000002,0.5167597765363129,0.15906374999999998,23.82777593333333,11.514539766666667,2118.4586244544703,4.184362139917696
